country,ai_strategy,year_published,strategy_url,region,income_group,status
Luxembourg,Artificial Intelligence: A Strategic Vision for Luxembourg,2019,https://digital-luxembourg.public.lu/initiatives/artificial-intelligence-strategic-vision-luxembourg,Europe,High income,published
Uruguay,AI Strategy for Digital Government,2019,https://www.gub.uy/agencia-gobierno-electronico-sociedad-informacion-conocimiento/,Latin America,High income,published
Argentina,National AI Plan (Plan Nacional de IA),2019,https://www.argentina.gob.ar/ciencia/plan-nacional-ia,Latin America,Upper middle income,announced
Bahrain,National AI Strategy,2019,https://www.moit.gov.bh/,Middle East,High income,announced
Hungary,National AI Strategy 2020-2030,2020,https://ai-hungary.com/en/,Europe,High income,published
Norway,National Strategy for Artificial Intelligence,2020,https://www.regjeringen.no/en/dokumenter/nasjonal-strategi-for-kunstig-intelligens/id2685594/,Europe,High income,published
Poland,Policy for the Development of Artificial Intelligence in Poland,2020,https://www.gov.pl/web/ai,Europe,High income,published
Spain,National AI Strategy (ENIA),2020,https://portal.mineco.gob.es/en-us/ministerio/estrategias/Pages/ENIA.aspx,Europe,High income,published
Saudi Arabia,National Strategy for Data and AI (NSDAI),2020,https://sdaia.gov.sa/en/SDAIA/about/Pages/Strategy.aspx,Middle East,High income,published
Latvia,Latvian Artificial Intelligence Strategy 2020-2025,2020,https://www.em.gov.lv/en/artificial-intelligence,Europe,High income,published
South Africa,Presidential Commission on the Fourth Industrial Revolution,2020,https://www.gov.za/documents/presidential-commission-fourth-industrial-revolution-report,Sub-Saharan Africa,Upper middle income,task force
Bangladesh,National AI Strategy of Bangladesh,2020,https://ictd.gov.bd/,South Asia,Lower middle income,announced
Serbia,Strategy for the Development of AI 2020-2025,2020,https://www.pravno-informacioni-sistem.rs/,Europe,Upper middle income,published
Bulgaria,Concept for the Development of AI in Bulgaria,2020,https://www.mtitc.government.bg/en,Europe,High income,white paper
Switzerland,AI Guidelines for the Federal Administration,2020,https://www.sbfi.admin.ch/sbfi/en/home.html,Europe,High income,published
Oman,National AI Strategy (Oman Vision 2040),2020,https://www.oman2040.om/,Middle East,High income,published
Indonesia,National Strategy for Artificial Intelligence 2020-2045 (Stranas KA),2020,https://ai-innovation.id/strategi,Southeast Asia,Upper middle income,published
Sri Lanka,National AI Strategy,2020,,South Asia,Lower middle income,announced
Tunisia,National AI Strategy,2018,https://www.mtcen.gov.tn/,North Africa,Lower middle income,task force
Ireland,AI - Here for Good: National AI Strategy,2021,https://enterprise.gov.ie/en/publications/national-ai-strategy.html,Europe,High income,published
Brazil,Brazilian AI Strategy (EBIA),2021,https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/transformacaodigital/inteligencia-artificial,Latin America,Upper middle income,published
Chile,National AI Policy,2021,https://www.minciencia.gob.cl/politicaia,Latin America,High income,published
Egypt,National AI Strategy,2021,https://mcit.gov.eg/en/Artificial_Intelligence,North Africa,Lower middle income,published
Philippines,National AI Strategy Roadmap,2021,https://dict.gov.ph/national-ai-strategy-roadmap/,Southeast Asia,Lower middle income,announced
Peru,National AI Strategy 2021-2026,2021,https://cdn.www.gob.pe/uploads/document/file/1902562/ENIA.pdf,Latin America,Upper middle income,published
Turkey,National AI Strategy 2021-2025,2021,https://cbddo.gov.tr/en/national-ai-strategy/,Middle East,Upper middle income,published
Vietnam,National Strategy on R&D and Application of AI,2021,https://en.baochinhphu.vn/national-strategy-on-rd-and-application-of-artificial-intelligence-11140532.htm,Southeast Asia,Lower middle income,published
Romania,National Strategy on AI,2021,https://www.comunicatii.gov.ro/,Europe,High income,published
Ukraine,Concept for AI Development in Ukraine,2021,,Europe,Upper middle income,white paper
Israel,National AI Program,2022,https://innovationisrael.org.il/en/,Middle East,High income,published
Thailand,National AI Strategy (AI for All),2022,https://www.onde.go.th/en/,Southeast Asia,Upper middle income,published
Rwanda,National AI Policy,2023,https://www.minict.gov.rw/,Sub-Saharan Africa,Low income,published
Pakistan,National AI Policy,2023,https://moitt.gov.pk/,South Asia,Lower middle income,published
Nigeria,National AI Strategy,2024,https://nitda.gov.ng/,Sub-Saharan Africa,Lower middle income,published
Ghana,National AI Strategy,2024,https://moc.gov.gh/,Sub-Saharan Africa,Lower middle income,announced
Ethiopia,National AI Strategy,2024,,Sub-Saharan Africa,Low income,announced
Zambia,National AI Strategy 2024-2026,2024,https://www.smart.gov.zm/,Sub-Saharan Africa,Lower middle income,announced
Australia,Australia's AI Action Plan,2021,https://www.industry.gov.au/publications/australias-artificial-intelligence-action-plan,Oceania,High income,published
United Kingdom,National AI Strategy (10-year plan),2021,https://www.gov.uk/government/publications/national-ai-strategy,Europe,High income,published
France,National AI Strategy Phase 2 (France 2030),2021,https://ai-watch.ec.europa.eu/countries/france/france-ai-strategy-report_en,Europe,High income,published
Italy,Strategic Programme for AI 2022-2024,2021,https://innovazione.gov.it/notizie/articoli/intelligenza-artificiale-l-italia-lancia-la-strategia-nazionale/,Europe,High income,published
China,14th Five-Year Plan (AI as frontier priority),2021,https://digichina.stanford.edu/work/translation-14th-five-year-plan-for-national-informatization-dec-2021/,East Asia,Upper middle income,legislation
Finland,AI 4.0 Programme,2022,https://ai-watch.ec.europa.eu/countries/finland/finland-ai-strategy-report_en,Europe,High income,published
Canada,Pan-Canadian AI Strategy Phase 2,2022,https://www.canada.ca/en/innovation-science-economic-development/news/2022/06/government-of-canada-launches-second-phase-of-the-pan-canadian-artificial-intelligence-strategy.html,North America,High income,published
Japan,AI Strategy 2022,2022,https://www8.cao.go.jp/cstp/ai/aistratagy2022en.pdf,East Asia,High income,published
Germany,AI Action Plan,2022,https://www.bmftr.bund.de/EN/Research/EmergingTechnologies/ArtificialIntelligence/artificialintelligence_node.html,Europe,High income,published
South Korea,Digital Strategy of Korea (AI priority),2022,https://www.msit.go.kr/eng/index.do,East Asia,High income,published
Belgium,National Convergence Plan for AI,2022,https://bosa.belgium.be/en/themes/digital-administration/digital-strategy-and-policy/national-convergence-plan-development,Europe,High income,published
Singapore,National AI Strategy 2.0 (NAIS 2.0),2023,https://www.smartnation.gov.sg/initiatives/national-ai-strategy/,Southeast Asia,High income,published
Taiwan,Taiwan AI Action Plan 2.0,2023,https://english.ey.gov.tw/News3/9E5540D592A5FECD/1dec0902-e02a-49c6-870d-e77208481667,East Asia,High income,published
United States,Executive Order 14110 on Safe Secure and Trustworthy AI,2023,https://bidenwhitehouse.archives.gov/briefing-room/statements-releases/2023/10/30/fact-sheet-president-biden-issues-executive-order-on-safe-secure-and-trustworthy-artificial-intelligence/,North America,High income,executive order
Denmark,Strategic Approach to Artificial Intelligence,2024,https://www.english.digmin.dk/Media/638719220318136690/Stategic%20Approach%20to%20Artificial%20Intelligence.pdf,Europe,High income,published
India,IndiaAI Mission,2024,https://indiaai.gov.in/,South Asia,Lower middle income,published
Italy,Strategia Italiana per l'Intelligenza Artificiale 2024-2026,2024,https://innovazione.gov.it/notizie/articoli/intelligenza-artificiale-l-italia-lancia-la-strategia-nazionale/,Europe,High income,published
Netherlands,Government-wide Vision on Generative AI,2024,https://www.government.nl/documents/parliamentary-documents/2024/01/17/government-wide-vision-on-generative-ai-of-the-netherlands,Europe,High income,published
Russia,Updated National AI Strategy (Presidential Decree),2024,https://babl.ai/russia-updates-national-ai-strategy/,Europe,High income,executive order
South Korea,AI Framework Act,2024,https://www.msit.go.kr/eng/index.do,East Asia,High income,legislation
United Kingdom,AI Opportunities Action Plan,2025,https://www.gov.uk/government/publications/ai-opportunities-action-plan/ai-opportunities-action-plan,Europe,High income,published
United States,Executive Order 14179 on Removing Barriers to American Leadership in AI,2025,https://www.whitehouse.gov/ai/,North America,High income,executive order
Philippines,National AI Strategy Roadmap 2.0,2024,https://erikalegara.com/uploads/NAISR2.0_July2024.pdf,Southeast Asia,Lower middle income,published
EU,Coordinated Plan on Artificial Intelligence,2018,https://digital-strategy.ec.europa.eu/en/policies/plan-ai,Europe,,published
